,Datetime,AdjClose,Volume,Price,buysell
41,2024-05-17 10:11:00-04:00,528.4199829101562,113248,528.46,1
152,2024-05-17 12:03:00-04:00,528.989990234375,60325,528.93,-1
194,2024-05-17 12:45:00-04:00,528.2899780273438,130515,528.33,1
512,2024-05-20 11:33:00-04:00,531.5399780273438,36236,531.51,-1
780,2024-05-21 09:31:00-04:00,529.1099853515625,187814,529.25,1
1166,2024-05-21 15:58:00-04:00,531.3350219726562,684229,531.35,-1
1308,2024-05-22 11:51:00-04:00,530.5399780273438,55089,530.55,1
1393,2024-05-22 13:16:00-04:00,531.2119750976562,64900,531.21,-1
1480,2024-05-22 14:43:00-04:00,527.8499755859375,64754,527.81,1
1558,2024-05-23 09:31:00-04:00,532.27001953125,297034,532.31,-1
1899,2024-05-23 15:12:00-04:00,524.9500122070312,122289,524.95,1
2050,2024-05-24 11:14:00-04:00,530.2100219726562,115749,530.16,-1
2164,2024-05-24 13:08:00-04:00,529.1898803710938,36512,529.14,1
2224,2024-05-24 14:08:00-04:00,530.0797119140625,52654,530.02,-1
2279,2024-05-24 15:03:00-04:00,528.780029296875,164698,528.67,1
2315,2024-05-24 15:39:00-04:00,529.3300170898438,75815,529.35,-1
